country,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022
United States Minor Outlying Islands,542,122,43,4,1,6,0,0,83,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Uruguay,17746574,1387983,1604415,654495,7346,6609,10215,14402,15264,20141,20635,22673,18543,17554,26983,30234,17706,23362,15929,20650,18839,16254,12032,10382,13963,12794
Uzbekistan,44755388,51378,37573,43149,228,195,41,37,17,35,32,34,75,22,26,40,15,63,0,0,1,0,13,2,1,6
Vanuatu,1231886,1161474,1101226,303,122,107,524,374,249,217,111,192,1092,305,596,186,1011,585,3380,1265,423,1024,238,3927,56,46
Vatican City,53,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,91249226,53746319,52375846,491357,114559,82952,81191,83898,87693,77758,106062,110183,129950,96108,69800,98318,59069,92064,56896,199541,158785,106772,135699,134832,61468,52896
Vietnam,32927600,14759930,14227390,1004759,44363,45013,40011,69228,96097,74372,76520,101946,132692,166166,124749,170261,115552,188482,190410,311456,249049,193789,185450,179459,164348,138880
"Virgin Islands, U.S.",36214,17846,16940,209,120,20,39,33,19,72,25,39,84,21,49,26,27,21,0,9,1122,44,17,14,19,33
Western Sahara,26732060,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,45220898,10,22,7047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,75049202,9185040,7213700,768157,19807,22499,21796,14157,23006,19319,23955,22816,61413,91865,33412,66560,32770,38139,33569,55185,56191,50625,45404,56757,70026,61795
Zimbabwe,39068111,293242,270037,151989,4221,3638,4204,4390,4985,9862,4246,1988,8681,2356,5420,7036,5974,5268,7866,6099,15848,3157,6765,3314,3364,4237
Åland,150643,87761,85289,2583,389,274,216,728,691,98,245,1275,669,626,461,650,506,536,548,641,705,604,2331,663,1327,1098
